GO_ID,Term,p_uncorrected,set_size,study_count
GO:0034421,post-translational protein acetylation,0.2536820721178263,1,1
GO:0006209,cytosine catabolic process,0.2536820721178263,1,1
GO:0071280,cellular response to copper ion,0.2536820721178263,1,1
GO:0009237,siderophore metabolic process,0.2536820721178263,1,1
GO:0006560,proline metabolic process,0.2536820721178263,1,1
GO:0071292,cellular response to silver ion,0.2536820721178263,1,1
GO:1901891,regulation of cell septum assembly,0.2536820721178263,1,1
GO:1902047,polyamine transmembrane transport,0.2536820721178263,1,1
GO:0009758,carbohydrate utilization,0.2536820721178263,1,1
GO:0018394,peptidyl-lysine acetylation,0.2536820721178263,1,1
GO:0019292,L-tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate,0.2536820721178263,1,1
GO:0042883,cysteine transport,0.2536820721178263,1,1
GO:0070298,negative regulation of phosphorelay signal transduction system,0.2536820721178263,1,1
GO:0006104,succinyl-CoA metabolic process,0.2536820721178263,1,1
GO:0018937,nitroglycerin metabolic process,0.2536820721178263,1,1
GO:0016051,carbohydrate biosynthetic process,0.2536820721178263,1,1
GO:0006449,regulation of translational termination,0.2536820721178263,1,1
GO:0051649,establishment of localization in cell,0.2536820721178263,1,1
GO:0046040,IMP metabolic process,0.2536820721178263,1,1
GO:0001731,formation of translation preinitiation complex,0.2536820721178263,1,1
GO:0002132,wobble position uridine ribose methylation,0.2536820721178263,1,1
GO:0043052,thermotaxis,0.2536820721178263,1,1
GO:0045861,negative regulation of proteolysis,0.2536820721178263,1,1
GO:1903412,response to bile acid,0.2536820721178263,1,1
GO:0002188,translation reinitiation,0.2536820721178263,1,1
GO:0009220,pyrimidine ribonucleotide biosynthetic process,0.2536820721178263,1,1
GO:0019264,glycine biosynthetic process from serine,0.2536820721178263,1,1
GO:0009143,nucleoside triphosphate catabolic process,0.2536820721178263,1,1
GO:0051050,positive regulation of transport,0.2536820721178263,1,1
GO:0032265,XMP salvage,0.2536820721178263,1,1
GO:0034203,glycolipid translocation,0.2536820721178263,1,1
GO:0002939,tRNA N1-guanine methylation,0.2536820721178263,1,1
GO:0007234,osmosensory signaling via phosphorelay pathway,0.2536820721178263,1,1
GO:0043113,receptor clustering,0.2536820721178263,1,1
GO:0043633,polyadenylation-dependent RNA catabolic process,0.2536820721178263,1,1
GO:0018277,protein deamination,0.2536820721178263,1,1
GO:0044873,lipoprotein localization to membrane,0.2536820721178263,1,1
GO:0006231,dTMP biosynthetic process,0.2536820721178263,1,1
GO:1903801,L-leucine import across plasma membrane,0.2536820721178263,1,1
GO:0046086,adenosine biosynthetic process,0.2536820721178263,1,1
GO:0071945,regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed,0.2536820721178263,1,1
GO:1901425,response to formic acid,0.2536820721178263,1,1
GO:0015835,peptidoglycan transport,0.2536820721178263,1,1
GO:0010226,response to lithium ion,0.2536820721178263,1,1
GO:1900372,negative regulation of purine nucleotide biosynthetic process,0.2536820721178263,1,1
GO:0019318,hexose metabolic process,0.2536820721178263,1,1
GO:0036297,interstrand cross-link repair,0.2536820721178263,1,1
GO:0048034,heme O biosynthetic process,0.2536820721178263,1,1
GO:0006228,UTP biosynthetic process,0.2536820721178263,1,1
GO:0006168,adenine salvage,0.2536820721178263,1,1
GO:0043086,negative regulation of catalytic activity,0.2536820721178263,1,1
GO:0015807,L-amino acid transport,0.2536820721178263,1,1
GO:0045913,positive regulation of carbohydrate metabolic process,0.2536820721178263,1,1
GO:0045337,farnesyl diphosphate biosynthetic process,0.2536820721178263,1,1
GO:0030245,cellulose catabolic process,0.2536820721178263,1,1
GO:0031667,response to nutrient levels,0.2536820721178263,1,1
GO:0046132,pyrimidine ribonucleoside biosynthetic process,0.2536820721178263,1,1
GO:0071963,establishment or maintenance of cell polarity regulating cell shape,0.2536820721178263,1,1
GO:0046113,nucleobase catabolic process,0.2536820721178263,1,1
GO:0101030,tRNA-guanine transglycosylation,0.2536820721178263,1,1
GO:0046342,CDP-diacylglycerol catabolic process,0.2536820721178263,1,1
GO:0006105,succinate metabolic process,0.2536820721178263,1,1
GO:0070929,trans-translation,0.2536820721178263,1,1
GO:0045454,cell redox homeostasis,0.2583744128343928,16,6
GO:0009411,response to UV,0.2583744128343928,16,6
