"",bulk,single-cell
phoq,0.000618,0.089
phou,0.000853,0.024
phr,0.002948,0.032
pinq,0.000208,0.102
pinr,0.000251,0.066
plap,0.000847,0.077
plsb,0.003675,0.073
plsc,0.000506,0.015
plsx,0.003135,0.032
pmrd,0.000093,0.040
pncb,0.007418,0.037
pnp,0.010430,0.020
pnta,0.003029,0.054
pntb,0.006590,0.122
pnuc,0.011345,0.031
pota,0.000499,0.027
potb,0.000445,0.020
potc,0.000306,0.017
potd,0.000888,0.092
pote,0.000723,0.082
poxb,0.009355,0.036
ppc,0.003661,0.037
ppdb,0.000272,0.038
ppdd,0.000056,0.019
ppha,0.003714,0.135
pphc,0.000078,0.054
ppib,0.013188,0.027
ppic,0.001637,0.023
ppnn,0.002309,0.028
pppa,0.000097,0.019
ppsa,0.005375,0.044
ppx,0.005051,0.025
pqib,0.003403,0.018
pqql,0.000126,0.079
prc,0.002627,0.115
prfa,0.000887,0.031
prfb,0.003089,0.022
prlc,0.011930,0.036
prmb,0.000613,0.074
proa,0.008191,0.022
prok,0.008191,0.035
proq,0.008982,0.046
pros,0.008288,0.048
prs,0.002585,0.037
psie,0.000599,0.008
pspa,0.084847,0.101
pspc,0.031240,0.031
pspf,0.000222,0.074
pssa,0.010199,0.014
psta,0.000836,0.009
pstb,0.000680,0.014
psts,0.001055,0.017
psug,0.000027,0.115
psuk,0.000040,0.137
psut,0.000586,0.110
pth,0.000646,0.066
ptra,0.000465,0.160
ptrb,0.003051,0.097
ptsg,0.034829,0.017
ptsh,0.028712,0.026
ptsi,0.053098,0.063
punc,0.000247,0.011
punr,0.000613,0.047
purb,0.000299,0.067
pure,0.000084,0.016
purf,0.000815,0.038
purh,0.000167,0.044
purl,0.000111,0.190
purr,0.000143,0.020
puru,0.001587,0.090
puub,0.000170,0.007
puup,0.000991,0.078
pykf,0.042644,0.046
pyrc,0.000236,0.036
pyrd,0.000148,0.027
pyre,0.000045,0.042
pyrg,0.041149,0.200
pyri,0.000208,0.014
qmca,0.005364,0.033
qora,0.011874,0.027
qorb,0.000545,0.024
quef,0.001048,0.025
queg,0.000835,0.028
racc,0.000183,0.082
racr,0.001036,0.088
raia,0.201884,0.106
ralr,0.000013,0.025
rapa,0.002126,0.056
rapz,0.002879,0.004
rara,0.006109,0.017
rard,0.000472,0.021
rava,0.001287,0.044
rbsa,0.003121,0.037
rbsd,0.005488,0.004
rbsr,0.000049,0.014
rcba,0.000130,0.064
rcla,0.000611,0.051
rclb,0.000110,0.045
rclc,0.000177,0.080
rcnr,0.000263,0.079
rcsc,0.000815,0.109
rcsf,0.001522,0.021
reca,0.036321,0.015
recb,0.000258,0.093
recc,0.000981,0.089
recd,0.001187,0.047
rece,0.000241,0.123
recn,0.016849,0.062
reco,0.003986,0.035
recq,0.000091,0.018
rect,0.000337,0.117
rela,0.000759,0.048
relb,0.008329,0.027
rele,0.039134,0.051
rem,0.000727,0.041
rfah,0.001243,0.027
rfba,0.001492,0.086
rfbb,0.003148,0.117
rfbc,0.006067,0.248
rflp,0.000802,0.081
rhab,0.000031,0.019
rhat,0.000361,0.023
rhlb,0.003907,0.047
rho,0.016027,0.055
rhsa,0.000193,0.019
rhsb,0.000170,0.045
rhsc,0.000188,0.028
rhtb,0.000112,0.025
riba,0.003701,0.053
ribb,0.053615,0.023
ribc,0.002823,0.085
ribd,0.003634,0.125
rida,0.001595,0.010
riha,0.000254,0.020
rihb,0.000102,0.056
riml,0.000411,0.038
rimm,0.018248,0.017
rlha,0.000165,0.015
rlma,0.000722,0.068
rlmd,0.001094,0.136
rlme,0.044329,0.075
rlmi,0.002269,0.074
rlml,0.000662,0.023
rlmm,0.002072,0.057
rlmn,0.006422,0.095
rlud,0.002926,0.047
rlue,0.000292,0.046
rmf,0.288646,0.056
rna,0.004679,0.046
rnb,0.000738,0.076
rnc,0.013742,0.103
rnd,0.000660,0.035
rne,0.005678,0.064
rng,0.001150,0.012
rnla,0.002051,0.025
rnlb,0.002401,0.024
rodz,0.024382,0.024
