"",bulk,single-cell
kefg,0.001895,0.012
kgtp,0.153302,0.112
kpta,0.000275,0.008
laca,0.000065,0.018
lacy,0.000083,0.051
lacz,0.031454,0.036
ldca,0.000307,0.016
ldcc,0.003252,0.009
ldha,0.003275,0.081
ldrc,0.000591,0.023
ldta,0.010543,0.095
ldtb,0.008307,0.050
ldtc,0.000283,0.026
ldtd,0.008069,0.007
ldte,0.057243,0.155
lepa,0.003317,0.065
lepb,0.006163,0.040
letb,0.001025,0.010
leua,0.000513,0.036
leuc,0.000942,0.057
leue,0.000845,0.081
leus,0.008703,0.079
lexa,0.035911,0.026
lgod,0.000112,0.005
lgor,0.000224,0.049
lgot,0.001613,0.036
lgt,0.000964,0.018
lhgd,0.023648,0.004
liga,0.006263,0.127
ligb,0.000107,0.024
lipb,0.000705,0.029
livg,0.000189,0.011
livh,0.000287,0.016
livj,0.000347,0.043
livk,0.000127,0.014
lola,0.002866,0.020
lolb,0.001104,0.039
lon,0.007230,0.025
lplt,0.004071,0.031
lpoa,0.001819,0.003
lpp,0.391442,0.036
lptc,0.010483,0.022
lptd,0.010369,0.097
lpte,0.010853,0.011
lptf,0.010072,0.012
lptg,0.012989,0.010
lpxc,0.284162,0.032
lpxl,0.003817,0.034
lpxm,0.002133,0.063
lrha,0.003372,0.122
lrp,0.013092,0.067
lsrb,0.000471,0.006
lsrd,0.000559,0.008
lsrf,0.000330,0.010
lsrk,0.000774,0.091
ltae,0.003058,0.010
luxs,0.016245,0.021
lysa,0.000736,0.036
lyso,0.000116,0.039
lysp,0.010037,0.041
lyss,0.003567,0.012
maa,0.000900,0.018
maca,0.000846,0.005
maea,0.002825,0.101
maeb,0.004808,0.073
mak,0.002385,0.008
male,0.000102,0.024
malf,0.000086,0.024
malg,0.000464,0.022
malp,0.001407,0.028
malq,0.001536,0.017
malt,0.001476,0.016
malx,0.000328,0.005
maly,0.000694,0.006
malz,0.000731,0.007
manx,0.033493,0.009
many,0.036619,0.011
manz,0.038685,0.021
mata,0.000000,0.076
matp,0.001721,0.005
maze,0.001452,0.030
mazg,0.001787,0.015
mcbr,0.001453,0.013
mcrb,0.000110,0.054
mcrc,0.000015,0.054
mdh,0.022337,0.019
mdtg,0.000837,0.040
mdti,0.000265,0.023
mdtm,0.000845,0.014
mdtn,0.000032,0.014
mdto,0.000031,0.036
mdtp,0.000006,0.053
melb,0.000478,0.003
melr,0.002318,0.034
mena,0.000870,0.028
menb,0.003058,0.025
menh,0.000464,0.028
meni,0.001010,0.047
mepm,0.007544,0.097
metf,0.000146,0.011
meth,0.000881,0.004
meti,0.001070,0.037
metq,0.001595,0.032
mfd,0.001371,0.060
mgla,0.000586,0.102
mglb,0.003812,0.053
mglc,0.000783,0.023
mgrb,0.003217,0.019
mgts,0.001608,0.027
miab,0.005719,0.043
mind,0.002911,0.058
mipa,0.001859,0.048
mlaa,0.005670,0.006
mlad,0.003164,0.017
mlc,0.000715,0.059
mlic,0.000172,0.048
mlta,0.000647,0.030
mltd,0.002295,0.035
mltf,0.000113,0.011
mltg,0.000427,0.009
mngb,0.000282,0.005
mngr,0.000521,0.063
mnma,0.000698,0.026
mnmg,0.000443,0.034
mnth,0.107487,0.052
moba,0.001441,0.023
mobb,0.001419,0.038
moca,0.006784,0.018
moda,0.001177,0.018
modb,0.000677,0.006
moea,0.002299,0.009
mokc,0.005224,0.007
mota,0.002371,0.024
motb,0.001415,0.038
mpaa,0.011491,0.073
mppa,0.002975,0.006
mqsa,0.016616,0.017
mrda,0.000349,0.072
mrdb,0.001170,0.049
msba,0.001701,0.017
mscl,0.029587,0.019
mscm,0.000356,0.042
mscs,0.008014,0.034
msrb,0.003373,0.035
msrc,0.003324,0.028
mtfa,0.004158,0.010
mtla,0.017841,0.019
mtld,0.008207,0.010
mtr,0.004894,0.016
mukb,0.001119,0.006
mukf,0.000746,0.005
murd,0.000901,0.005
muri,0.001203,0.004
murr,0.000140,0.057
mutm,0.000142,0.005
muty,0.000968,0.012
mzra,0.004604,0.005
nac,0.000293,0.120
nada,0.004985,0.014
nadc,0.000838,0.020
nadk,0.001471,0.009
nadr,0.004012,0.005
naga,0.004003,0.033
nagb,0.006506,0.027
nagc,0.002087,0.052
nage,0.013472,0.019
nana,0.011564,0.020
nanc,0.000405,0.085
nane,0.003279,0.010
