"",bulk,single-cell
prmb,0.553289,0.087416
proa,0.514789,0.025937
proc,0.262686,0.039385
prok,0.403204,0.037464
proq,3.445779,0.032661
pros,1.471543,0.037464
prpr,0.086961,0.055716
prs,4.340954,0.062440
psif,0.323885,0.032661
pspa,0.189307,0.048991
pspb,0.128351,0.005764
pspc,0.113860,0.021134
pspf,0.046205,0.083573
pstc,0.116032,0.008646
psug,0.034682,0.149856
psut,0.066867,0.119116
pta,0.760352,0.032661
pth,0.187766,0.070125
ptra,0.287791,0.156580
ptrb,0.147361,0.140250
ptsg,5.109897,0.030740
ptsi,4.009834,0.111431
punr,0.041128,0.060519
pure,0.686937,0.019212
purf,3.199816,0.029779
purh,0.476570,0.038425
