"",bulk,single-cell
fruk,0.439718,0.015968
frva,0.001203,0.001996
frvb,0.004963,0.002994
frvr,0.006413,0.040918
frvx,0.008347,0.024950
frwb,0.011302,0.001996
frwc,0.011057,0.000000
frwd,0.018183,0.004990
fryb,0.000973,0.061876
fryc,0.003646,0.047904
fsaa,0.016862,0.002994
fsr,0.084663,0.107784
ftna,1.027773,0.069860
ftnb,0.368322,0.038922
ftp,0.111015,0.073852
ftsa,0.663024,0.040918
ftse,0.428308,0.000000
ftsh,3.892217,0.188623
ftsi,0.246319,0.016966
ftsk,0.567784,0.058882
ftsn,0.330690,0.000000
ftsp,0.646586,0.000998
ftsq,0.641394,0.000998
ftsw,0.431506,0.008982
ftsx,0.444745,0.019960
ftsy,0.476302,0.006986
ftsz,3.193578,0.006986
fuca,0.029333,0.035928
fuci,0.090913,0.001996
fuck,0.053564,0.022954
fuco,0.152282,0.009980
fucp,0.019424,0.024950
fucr,0.281242,0.022954
fucu,0.175539,0.012974
fumb,0.936390,0.014970
fumc,0.846574,0.075848
fumd,0.054299,0.078842
fume,0.238896,0.007984
fur,1.352880,0.120758
fusa,21.905107,0.189621
fxsa,0.044081,0.020958
gabd,0.839345,0.000000
gabp,0.330793,0.024950
gabt,1.829358,0.000998
gada,0.145543,0.017964
gadb,0.207851,0.152695
gadc,0.173431,0.154691
gade,0.052577,0.001996
gadw,0.341713,0.055888
gadx,0.017284,0.043912
gale,0.313000,0.029940
galf,2.059073,0.107784
galk,0.422692,0.091816
galm,0.766143,0.001996
galp,0.544816,0.007984
galr,0.186678,0.030938
gals,0.152063,0.164671
galt,0.262701,0.043912
galu,1.025482,0.049900
gapa,10.796933,0.282435
gard,0.078679,0.032934
gark,0.049715,0.010978
garl,0.025575,0.008982
garp,0.007553,0.023952
garr,0.065510,0.008982
gatb,17.820285,0.115768
gatd,11.723931,0.205589
gaty,24.644812,0.016966
gatz,34.715589,0.516966
gcd,0.397866,0.067864
gcl,0.017903,0.028942
gcva,0.156965,0.156687
gcvh,8.858849,0.002994
gcvp,6.419023,0.009980
gcvr,0.495845,0.029940
gcvt,8.312259,0.002994
gdha,1.120095,0.019960
gdx,0.328092,0.000000
gfcb,0.005900,0.085828
gfcc,0.008611,0.014970
gfcd,0.009388,0.114770
gfce,0.011034,0.103792
ggt,0.921189,0.018962
ghos,0.177366,0.014970
ghot,0.000615,0.002994
ghra,0.226126,0.016966
ghrb,0.406980,0.015968
ghxp,0.994375,0.003992
ghxq,0.058792,0.005988
glah,0.370912,0.048902
glar,0.460288,0.016966
glcb,5.462383,0.016966
glcc,0.846737,0.032934
glcd,2.091856,0.003992
glce,1.818295,0.004990
glcf,2.049757,0.007984
glcg,3.233783,0.000998
glda,0.046114,0.038922
glf,0.463583,0.156687
glga,1.560127,0.082834
glgb,0.813328,0.047904
glgc,1.454298,0.061876
glgp,1.059630,0.043912
glgs,0.141621,0.008982
glgx,0.631929,0.033932
glk,0.625904,0.072854
glmm,1.067230,0.028942
glms,1.429895,0.095808
glmu,0.985996,0.025948
glna,1.016034,0.011976
glnb,0.573585,0.038922
glnd,0.160714,0.063872
glne,0.319923,0.019960
glng,0.128487,0.001996
glnh,3.217613,0.164671
glnk,0.009705,0.005988
glnl,0.131074,0.052894
glnp,0.982995,0.022954
glnq,1.314065,0.000000
glns,0.899238,0.034930
gloa,0.617516,0.003992
glob,0.150774,0.103792
gloc,1.529020,0.000000
glpa,0.004439,0.009980
glpb,0.009417,0.000000
glpc,0.011415,0.005988
glpd,0.160274,0.079840
glpe,0.422959,0.000000
glpf,0.160541,0.036926
glpg,0.370123,0.002994
glpk,0.286062,0.031936
glpq,0.192763,0.146707
glpt,0.069576,0.139721
glpx,0.094971,0.003992
glrk,0.123422,0.081836
glrr,0.203483,0.113772
glsa,0.160814,0.016966
glsb,0.192780,0.089820
glta,3.077667,0.139721
gltb,0.835698,0.016966
gltd,0.783511,0.001996
gltf,0.019852,0.012974
glti,1.450384,0.122754
gltj,0.472114,0.040918
gltk,0.462867,0.048902
gltl,0.609253,0.000998
gltp,0.075421,0.005988
glts,0.101948,0.000000
gltx,1.227106,0.035928
glxk,0.071066,0.014970
glxr,0.003491,0.002994
glya,5.639424,0.028942
glyq,1.783532,0.000998
glys,1.677368,0.000000
glyu,0.532465,0.100798
gmd,0.017329,0.047904
gmha,0.830721,0.015968
gmhb,0.232234,0.009980
gmk,0.707757,0.019960
gmm,0.007954,0.054890
gnsa,0.039692,0.006986
gnsb,0.349579,0.016966
gntk,0.021873,0.008982
gntp,0.051119,0.075848
gntr,0.274770,0.006986
gntt,0.122259,0.002994
gntu,0.025731,0.007984
gor,0.409424,0.034930
gph,0.737481,0.009980
gpma,2.340923,0.097804
gpmm,0.356920,0.001996
gpr,0.375220,0.057884
gpsa,1.661155,0.012974
gpt,0.294606,0.026946
grca,0.059816,0.023952
grea,0.781834,0.004990
greb,0.111045,0.001996
grol,1.770163,0.040918
gros,1.293925,0.003992
grpe,0.891686,0.022954
grxa,0.010019,0.050898
grxb,0.310706,0.159681
grxc,2.164214,0.000000
grxd,1.189778,0.028942
gsha,1.134048,0.254491
gshb,0.567131,0.003992
gsia,0.420271,0.023952
gsib,0.258878,0.029940
