"",bulk,single-cell
glrk,0.000796,0.082
glrr,0.000400,0.102
glsa,0.000420,0.018
glsb,0.000102,0.049
glta,0.057237,0.208
gltb,0.000729,0.023
gltd,0.000724,0.001
gltf,0.000038,0.036
glti,0.003116,0.081
gltj,0.000177,0.030
gltk,0.000200,0.037
gltl,0.000231,0.003
gltp,0.000295,0.008
glts,0.002453,0.003
gltx,0.003439,0.043
glxk,0.000415,0.009
glxr,0.000081,0.006
glya,0.001590,0.034
glyq,0.004757,0.003
glys,0.006398,0.008
glyu,0.012321,0.068
gmd,0.000044,0.039
gmha,0.005237,0.013
gmhb,0.000918,0.009
gmk,0.006829,0.019
gmm,0.000028,0.045
gnsa,0.000497,0.009
gnsb,0.000138,0.012
gntk,0.000609,0.024
gntp,0.001789,0.061
gntr,0.001828,0.012
gntt,0.001320,0.002
gntu,0.000629,0.017
gor,0.004444,0.036
gph,0.001160,0.017
gpma,0.084730,0.059
gpmm,0.005810,0.005
gpr,0.007764,0.040
gpsa,0.021138,0.014
gpt,0.000702,0.061
grca,0.003223,0.020
grea,0.002215,0.012
greb,0.000631,0.003
grol,0.007100,0.031
gros,0.003639,0.011
grpe,0.013789,0.015
grxa,0.000143,0.047
grxb,0.010905,0.086
grxc,0.010214,0.000
grxd,0.014386,0.033
gsha,0.007894,0.193
gshb,0.002849,0.014
gsia,0.001008,0.021
gsib,0.000661,0.031
gsic,0.000288,0.005
gsid,0.000176,0.010
gsk,0.000180,0.028
gspa,0.000048,0.035
gspb,0.000173,0.019
gspc,0.000081,0.023
gspd,0.000102,0.025
gspe,0.000053,0.014
gspf,0.000027,0.013
gspg,0.000016,0.004
gsph,0.000045,0.010
gspi,0.000000,0.004
gspj,0.000028,0.017
gspk,0.000004,0.018
gspl,0.000010,0.019
gspm,0.000173,0.014
gspo,0.000336,0.015
gss,0.001888,0.042
gsta,0.014224,0.005
gstb,0.003573,0.037
guaa,0.003289,0.049
guab,0.002296,0.081
guac,0.001495,0.032
guad,0.000268,0.020
gudd,0.000366,0.046
gudp,0.000133,0.084
gudx,0.000235,0.095
gutm,0.000246,0.004
gutq,0.000700,0.000
gyra,0.003227,0.163
gyrb,0.005958,0.101
hcac,0.000491,0.001
hcad,0.000661,0.007
hcae,0.000396,0.004
hcaf,0.000349,0.006
hcar,0.001261,0.111
hcat,0.000268,0.063
hcha,0.025679,0.045
hcp,0.000044,0.037
hcr,0.000286,0.012
hcxa,0.000836,0.023
hcxb,0.001050,0.014
hda,0.000525,0.005
hdea,0.002718,0.013
hdeb,0.001048,0.022
hded,0.002419,0.005
hdfr,0.001149,0.068
hdha,0.011761,0.159
held,0.002030,0.053
hema,0.002150,0.004
hemb,0.002624,0.030
hemc,0.004709,0.018
hemd,0.001815,0.003
heme,0.002008,0.000
hemf,0.000368,0.003
hemg,0.001026,0.007
hemh,0.001618,0.026
heml,0.008554,0.037
hemn,0.004844,0.000
hemw,0.000376,0.026
hemx,0.001617,0.073
hemy,0.002668,0.008
hflc,0.006434,0.017
hfld,0.000512,0.002
hflk,0.010107,0.001
hflx,0.009307,0.054
hfq,0.023455,0.028
