gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
yffP		GO:0005829 - cytosol	
yffO		GO:0005829 - cytosol	
yqiI	GO:0007155 - cell adhesion; GO:0051595 - response to methylglyoxal	GO:0005576 - extracellular region; GO:0009289 - pilus	
yqiH	GO:0006457 - protein folding; GO:0006974 - DNA damage response; GO:0071555 - cell wall organization	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0044183 - protein folding chaperone
yqiG	GO:0009297 - pilus assembly; GO:0055085 - transmembrane transport	GO:0009279 - cell outer membrane; GO:0016020 - membrane	GO:0015473 - fimbrial usher porin activity
insD5	GO:0006310 - DNA recombination; GO:0015074 - DNA integration; GO:0032196 - transposition	GO:0005829 - cytosol	GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding
insC5	GO:0006310 - DNA recombination; GO:0006313 - DNA transposition; GO:0032196 - transposition	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0004803 - transposase activity
insCD5			
insI1	GO:0006310 - DNA recombination; GO:0006313 - DNA transposition; GO:0015074 - DNA integration; GO:0032196 - transposition	GO:0005829 - cytosol; GO:0032993 - protein-DNA complex	GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0004803 - transposase activity; GO:0032135 - DNA insertion or deletion binding; GO:0043565 - sequence-specific DNA binding
insN	GO:0032196 - transposition	GO:0005829 - cytosol	GO:0005515 - protein binding
araH	GO:0015751 - arabinose transmembrane transport; GO:0042882 - L-arabinose transmembrane transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0015147 - L-arabinose transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
