,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
yagA,0.0,0.0,0.0
yagB,32.0,16.0,34.0
yagE,0.0,1.0,2.0
yagF,0.0,0.0,0.0
yagG,0.0,0.0,2.0
yagH,33.0,30.0,30.0
yagI,3.0,8.0,6.0
yagJ,312.0,333.0,322.0
yagK,300.0,303.0,315.0
yagL,333.0,353.0,341.0
yagM,150.0,166.0,136.0
yagN,53.0,64.0,57.0
yagP,30.0,29.0,35.0
yagQ,1.0,3.0,3.0
yagR,6.0,8.0,6.0
yagS,7.0,5.0,5.0
yagT,11.0,11.0,11.0
yagU,138.0,163.0,162.0
yagV,229.0,228.0,239.0
yagW,39.0,58.0,33.0
yagX,191.0,206.0,196.0
yagY,40.0,30.0,53.0
yagZ,46.0,33.0,40.0
yahA,151.0,123.0,137.0
yahB,122.0,143.0,104.0
yahC,144.0,126.0,136.0
yahD,222.0,216.0,211.0
yahE,163.0,195.0,169.0
yahF,20.0,28.0,23.0
yahG,15.0,22.0,23.0
yahH,43.0,45.0,39.0
yahI,93.0,80.0,85.0
yahJ,2.0,0.0,0.0
yahK,128.0,125.0,106.0
yahL,178.0,232.0,236.0
yahM,82.0,78.0,81.0
yahN,67.0,82.0,73.0
yahO,21.0,19.0,24.0
yaiA,1.0,4.0,4.0
yaiC,59.0,60.0,69.0
yaiE,24.0,38.0,33.0
yaiI,0.0,2.0,0.0
yaiL,162.0,183.0,153.0
yaiO,100.0,111.0,102.0
yaiP,71.0,79.0,61.0
yaiS,76.0,70.0,66.0
yaiT,611.0,610.0,642.0
yaiV,69.0,72.0,80.0
yaiW,92.0,84.0,79.0
yaiX,149.0,176.0,170.0
yaiY,0.0,1.0,0.0
yaiZ,11.0,20.0,10.0
yajC,185.0,179.0,181.0
yajD,112.0,77.0,122.0
yajG,0.0,0.0,0.0
yajI,13.0,19.0,14.0
yajL,16.0,23.0,16.0
yajO,12.0,15.0,8.0
yajQ,18.0,27.0,24.0
yajR,91.0,117.0,100.0
ybaA,61.0,77.0,63.0
ybaB,26.0,36.0,17.0
ybaE,143.0,131.0,136.0
ybaJ,29.0,25.0,25.0
ybaK,9.0,3.0,5.0
ybaL,15.0,11.0,6.0
ybaM,67.0,78.0,58.0
ybaN,5.0,6.0,3.0
ybaO,1.0,2.0,1.0
ybaP,19.0,27.0,20.0
ybaQ,651.0,703.0,694.0
ybaS,125.0,129.0,123.0
ybaT,67.0,36.0,63.0
ybaV,0.0,0.0,0.0
ybaW,67.0,46.0,58.0
ybaY,11.0,26.0,20.0
ybaZ,73.0,60.0,76.0
ybbA,2.0,1.0,3.0
ybbB,14.0,13.0,16.0
ybbC,67.0,68.0,54.0
ybbD,17.0,28.0,28.0
ybbJ,0.0,2.0,1.0
ybbK,153.0,151.0,160.0
ybbL,457.0,470.0,459.0
ybbM,60.0,61.0,60.0
ybbN,0.0,0.0,2.0
ybbO,53.0,53.0,43.0
ybbP,35.0,45.0,48.0
ybbS,81.0,74.0,80.0
ybbV,109.0,111.0,100.0
ybbW,23.0,28.0,23.0
ybbY,39.0,45.0,46.0
ybcF,1.0,1.0,1.0
ybcH,22.0,19.0,25.0
ybcI,3.0,6.0,6.0
ybcJ,1.0,0.0,0.0
ybcK,175.0,168.0,196.0
ybcL,166.0,144.0,174.0
ybcM,187.0,174.0,157.0
ybcN,29.0,28.0,23.0
ybcO,6.0,6.0,5.0
ybcQ,15.0,13.0,10.0
ybcS,248.0,234.0,221.0
ybcY,175.0,176.0,184.0
ybdA,10.0,9.0,9.0
ybdB,5.0,4.0,8.0
ybdD,57.0,53.0,53.0
ybdF,0.0,0.0,0.0
ybdG,300.0,298.0,279.0
ybdH,17.0,15.0,20.0
ybdJ,0.0,0.0,2.0
ybdK,20.0,28.0,27.0
ybdL,3.0,2.0,2.0
ybdM,73.0,91.0,70.0
ybdN,30.0,52.0,47.0
ybdO,82.0,104.0,103.0
ybdR,135.0,153.0,134.0
ybdZ,13.0,17.0,16.0
ybeA,0.0,0.0,0.0
ybeB,0.0,0.0,3.0
ybeD,186.0,205.0,191.0
ybeF,215.0,197.0,212.0
ybeL,1.0,1.0,1.0
ybeM,3.0,4.0,1.0
ybeQ,105.0,98.0,82.0
ybeR,57.0,70.0,73.0
ybeT,129.0,161.0,145.0
ybeU,158.0,206.0,195.0
ybeX,311.0,304.0,316.0
ybeY,90.0,88.0,75.0
ybeZ,65.0,77.0,69.0
ybfA,3.0,3.0,2.0
ybfB,56.0,57.0,51.0
ybfC,56.0,45.0,63.0
ybfD,240.0,242.0,206.0
ybfE,58.0,63.0,62.0
ybfF,61.0,58.0,62.0
ybfG,282.0,283.0,246.0
ybfL,175.0,167.0,179.0
ybfM,80.0,73.0,49.0
ybfN,10.0,15.0,16.0
ybfO,199.0,234.0,181.0
ybfP,157.0,174.0,132.0
ybfQ,87.0,93.0,71.0
ybgA,203.0,230.0,205.0
ybgC,41.0,41.0,33.0
ybgD,94.0,115.0,97.0
ybgE,0.0,0.0,0.0
ybgF,89.0,69.0,88.0
ybgH,148.0,170.0,142.0
ybgI,1.0,1.0,0.0
ybgJ,0.0,2.0,1.0
ybgK,0.0,0.0,0.0
ybgL,6.0,3.0,6.0
ybgO,166.0,167.0,168.0
ybgP,136.0,157.0,146.0
ybgQ,97.0,100.0,108.0
ybgS,24.0,33.0,25.0
ybgT,1.0,2.0,0.0
ybhA,199.0,186.0,180.0
ybhB,62.0,62.0,77.0
ybhC,12.0,11.0,16.0
ybhD,253.0,280.0,273.0
ybhF,6.0,12.0,12.0
ybhG,0.0,0.0,1.0
ybhH,110.0,103.0,80.0
ybhI,191.0,172.0,159.0
ybhJ,72.0,56.0,52.0
ybhK,100.0,97.0,86.0
ybhL,74.0,76.0,71.0
ybhM,146.0,145.0,139.0
ybhN,145.0,153.0,138.0
ybhO,197.0,207.0,170.0
ybhP,10.0,20.0,10.0
ybhQ,2.0,0.0,1.0
ybhR,23.0,17.0,14.0
ybhS,12.0,8.0,1.0
ybhT,76.0,59.0,73.0
ybiA,48.0,61.0,43.0
ybiB,2.0,1.0,3.0
ybiC,95.0,102.0,73.0
ybiH,1.0,0.0,1.0
ybiI,0.0,1.0,0.0
ybiJ,4.0,1.0,1.0
ybiM,0.0,0.0,1.0
ybiN,87.0,100.0,87.0
ybiO,103.0,127.0,106.0
ybiP,120.0,116.0,141.0
ybiR,129.0,102.0,92.0
ybiS,160.0,160.0,158.0
ybiT,18.0,29.0,31.0
ybiU,0.0,0.0,0.0
ybiV,194.0,227.0,214.0
ybiW,147.0,136.0,132.0
ybiX,54.0,44.0,61.0
ybiY,85.0,87.0,87.0
ybjC,19.0,27.0,13.0
ybjD,22.0,24.0,23.0
ybjE,69.0,80.0,74.0
ybjG,2.0,0.0,3.0
ybjH,42.0,36.0,32.0
ybjI,92.0,74.0,69.0
ybjJ,7.0,14.0,6.0
ybjK,27.0,28.0,40.0
ybjL,212.0,238.0,201.0
ybjM,1.0,1.0,0.0
ybjN,57.0,74.0,85.0
ybjO,123.0,134.0,118.0
ybjP,8.0,16.0,10.0
ybjQ,0.0,0.0,0.0
ybjR,0.0,1.0,2.0
ybjS,15.0,33.0,38.0
ybjT,18.0,17.0,14.0
ybjX,209.0,231.0,201.0
ycaC,116.0,144.0,121.0
ycaD,30.0,41.0,37.0
ycaI,96.0,111.0,105.0
ycaJ,133.0,147.0,126.0
ycaK,297.0,294.0,252.0
ycaL,232.0,229.0,244.0
ycaM,162.0,157.0,143.0
ycaN,226.0,247.0,230.0
ycaO,271.0,278.0,266.0
ycaP,421.0,403.0,384.0
ycaQ,93.0,98.0,91.0
ycaR,7.0,11.0,10.0
ycbB,60.0,85.0,84.0
ycbC,54.0,63.0,48.0
ycbF,97.0,123.0,122.0
ycbG,107.0,103.0,116.0
ycbJ,369.0,416.0,373.0
ycbK,250.0,267.0,252.0
ycbL,0.0,0.0,1.0
ycbQ,269.0,263.0,284.0
ycbR,124.0,135.0,143.0
ycbS,76.0,89.0,84.0
ycbT,259.0,268.0,292.0
ycbU,57.0,49.0,51.0
ycbV,81.0,78.0,71.0
ycbW,150.0,156.0,146.0
ycbX,22.0,28.0,27.0
ycbZ,199.0,177.0,192.0
yccA,52.0,36.0,41.0
yccE,339.0,321.0,334.0
yccF,135.0,145.0,151.0
yccJ,223.0,229.0,224.0
yccK,64.0,74.0,74.0
yccM,94.0,99.0,97.0
yccS,346.0,363.0,346.0
yccT,42.0,45.0,47.0
yccU,7.0,6.0,8.0
yccW,109.0,120.0,117.0
yccX,43.0,35.0,39.0
yccZ,175.0,211.0,225.0
ycdB,16.0,21.0,23.0
ycdC,15.0,13.0,31.0
ycdG,19.0,19.0,20.0
ycdI,43.0,34.0,25.0
ycdK,18.0,12.0,10.0
ycdL,1.0,2.0,2.0
ycdM,81.0,89.0,69.0
ycdO,75.0,61.0,66.0
ycdT,121.0,144.0,130.0
ycdU,114.0,106.0,113.0
ycdW,214.0,193.0,194.0
ycdX,47.0,54.0,47.0
ycdY,117.0,109.0,93.0
ycdZ,22.0,24.0,23.0
yceA,160.0,161.0,151.0
yceB,15.0,34.0,24.0
yceD,12.0,15.0,14.0
yceF,49.0,39.0,36.0
yceG,121.0,136.0,123.0
yceH,107.0,106.0,107.0
yceI,153.0,158.0,142.0
yceJ,0.0,0.0,0.0
yceK,3.0,1.0,4.0
yceN,7.0,10.0,9.0
yceO,90.0,80.0,79.0
yceQ,25.0,22.0,19.0
ycfD,166.0,167.0,149.0
ycfH,114.0,130.0,114.0
ycfJ,38.0,36.0,31.0
ycfK,43.0,38.0,35.0
ycfL,67.0,67.0,63.0
ycfM,22.0,24.0,30.0
ycfP,116.0,117.0,128.0
ycfQ,101.0,94.0,91.0
ycfS,197.0,216.0,223.0
ycfT,79.0,92.0,88.0
ycfZ,162.0,166.0,147.0
ycgB,199.0,235.0,202.0
ycgE,270.0,287.0,248.0
ycgF,147.0,165.0,159.0
ycgG,138.0,150.0,166.0
ycgH,335.0,365.0,367.0
ycgI,0.0,2.0,0.0
ycgJ,36.0,34.0,44.0
ycgK,19.0,23.0,33.0
ycgL,17.0,29.0,22.0
ycgM,3.0,3.0,4.0
ycgN,44.0,44.0,49.0
ycgR,0.0,5.0,2.0
ycgV,235.0,230.0,215.0
ycgX,29.0,35.0,21.0
ycgY,104.0,99.0,86.0
ycgZ,98.0,93.0,92.0
ychA,205.0,172.0,196.0
ychE,52.0,50.0,52.0
ychF,127.0,125.0,131.0
ychG,61.0,78.0,65.0
ychH,12.0,14.0,10.0
ychJ,82.0,107.0,103.0
ychM,0.0,0.0,1.0
ychN,0.0,1.0,0.0
ychO,114.0,145.0,113.0
ychQ,68.0,55.0,81.0
ychS,0.0,0.0,0.0
yciA,105.0,114.0,106.0
