,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
phnE,9.0,6.0,14.0
phnF,0.0,0.0,2.0
phnH,0.0,0.0,0.0
phnJ,8.0,5.0,12.0
phnK,7.0,7.0,4.0
phnM,2.0,2.0,3.0
phnN,6.0,11.0,9.0
phnO,0.0,0.0,2.0
phoE,8.0,5.0,14.0
phoH,49.0,34.0,32.0
phoP,151.0,142.0,130.0
phoQ,34.0,45.0,34.0
phoR,19.0,27.0,22.0
phoU,19.0,20.0,19.0
php,1.0,3.0,4.0
phr,16.0,21.0,19.0
pin,8.0,3.0,0.0
pinH,5.0,4.0,2.0
pinQ,86.0,46.0,52.0
pinR,14.0,17.0,19.0
pioO,3.0,2.0,6.0
pitA,11.0,8.0,18.0
pitB,0.0,0.0,0.0
pldA,5.0,5.0,4.0
plsB,34.0,40.0,25.0
plsC,41.0,26.0,39.0
plsX,286.0,293.0,270.0
pmbA,7.0,8.0,5.0
pmrD,6.0,11.0,5.0
pncA,1.0,11.0,7.0
pncB,98.0,76.0,81.0
pnp,115.0,109.0,117.0
pntA,40.0,41.0,30.0
pntB,119.0,114.0,86.0
pnuC,17.0,28.0,24.0
polA,12.0,12.0,11.0
potA,54.0,53.0,48.0
potB,10.0,9.0,12.0
