,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
yhjD,157,180,116,804,100,1072,305,641,900,333,568,605,656,1376,782
yhjE,240,197,126,191,172,229,50,138,159,48,347,299,367,237,281
yhjG,937,1109,558,2999,852,3927,1172,2312,2469,1156,8957,8505,9342,3770,3019
yhjJ,2134,2165,1175,728,1613,158,49,103,117,48,566,500,585,165,134
yhjV,109,142,51,54,97,16,4,7,10,1,48,56,62,42,39
yhjX,57,55,42,109,32,85,27,62,71,26,185,197,183,184,171
yhjY,236,242,111,859,116,263,85,205,258,95,894,946,988,1808,969
yiaA,3,14,2,7,6,6,2,10,15,6,12,8,21,37,19
yiaB,0,2,1,1,1,5,0,1,0,0,8,12,6,10,3
yiaC,97,102,69,247,77,51,8,37,30,9,112,88,144,113,107
yiaD,81,104,39,51,75,25,7,14,11,10,29,22,28,24,18
yiaF,1845,1839,901,3276,1277,1817,522,1256,1653,686,1596,1463,1769,2697,1794
yiaG,571,580,268,1610,294,1922,596,1308,2217,927,896,789,897,1582,683
yiaJ,209,218,142,268,134,64,30,40,36,21,66,69,67,82,51
yiaK,26,48,17,61,28,16,7,23,14,8,16,14,19,17,5
yiaL,19,6,4,22,7,2,0,4,5,1,5,3,6,1,2
yiaM,2,1,8,3,1,3,0,0,4,1,1,2,5,5,2
yiaN,4,24,5,8,3,12,0,2,7,0,10,8,16,8,2
yiaO,32,30,33,24,29,10,2,3,6,1,24,7,16,11,10
yiaT,11,21,11,21,10,62,14,30,46,21,58,89,88,140,55
yiaU,83,59,51,116,59,82,21,61,54,21,54,52,54,72,66
yiaV,18,16,2,20,16,32,5,38,32,19,130,116,107,102,145
yiaW,2,4,0,0,1,6,0,4,6,4,3,6,9,6,3
yiaY,3,7,5,10,1,1,0,5,5,0,23,16,18,14,6
yibA,30,16,11,33,21,44,14,41,30,10,24,22,35,57,28
yibB,228,224,101,238,176,41,13,30,30,17,38,58,37,69,34
yibF,696,805,394,2561,509,145,39,83,140,61,711,727,853,1477,878
yibG,7,1,5,6,2,3,0,3,0,0,12,12,20,15,11
yibH,91,108,61,394,56,282,72,191,194,93,197,161,164,273,132
yibI,29,21,6,79,15,110,24,47,53,37,32,42,35,49,39
yibL,221,256,131,283,200,407,126,274,364,194,162,143,157,223,115
yibN,1161,1441,727,1313,966,158,39,116,134,49,510,602,605,586,433
yibQ,535,565,321,522,461,44,11,32,33,16,134,116,136,127,141
yibT,11,17,13,22,8,1592,345,591,698,320,33,49,52,268,52
yicC,1095,1096,528,1250,697,429,132,256,332,155,683,669,773,978,676
yicG,38,41,11,63,27,8,2,2,3,0,9,10,11,15,15
yicH,447,567,269,772,357,2002,620,1386,1516,627,1063,988,1148,1443,1109
yicI,92,103,34,142,83,30,23,20,18,19,61,54,54,68,56
yicJ,13,11,5,20,14,0,3,2,3,10,36,33,33,29,11
yicL,138,197,97,142,118,61,15,47,46,20,65,61,49,80,34
yicN,76,129,40,108,55,63,23,44,37,28,81,94,85,108,54
yicS,15,8,5,53,15,10,1,7,7,3,81,77,82,153,66
yidA,327,386,153,502,307,228,61,107,162,62,115,65,118,135,92
yidB,61,73,19,100,31,103,39,62,101,42,185,203,195,333,239
yidC,6893,8945,4446,2679,7017,313,73,188,211,103,817,740,899,418,491
yidD,767,891,478,254,719,7,0,2,7,2,127,135,157,61,106
yidE,343,417,199,553,344,397,143,295,292,156,272,249,255,224,202
yidF,65,80,41,67,35,13,1,6,34,11,9,25,16,15,11
yidG,29,83,20,57,25,35,6,24,41,16,29,38,47,36,37
yidH,53,54,36,88,34,62,11,24,31,8,43,63,56,77,45
yidI,64,56,29,58,36,11,4,3,0,4,26,28,20,20,16
yidJ,24,31,20,61,18,18,3,5,6,1,32,25,41,35,19
yidK,12,33,16,39,25,10,0,9,5,0,36,38,51,34,29
yidL,12,13,2,24,8,6,0,4,6,8,15,17,23,27,8
yidP,13,10,2,24,2,7,0,1,2,2,15,10,19,0,6
yidQ,358,462,221,440,272,82,24,64,58,20,282,363,393,471,325
yidR,94,167,93,166,85,80,23,61,63,30,58,64,57,46,58
yidX,19,22,10,29,14,13,7,6,21,7,147,115,113,253,123
yidZ,129,170,73,116,123,14,1,3,20,1,10,13,17,18,5
yieE,544,605,315,1197,395,177,44,106,163,78,639,625,778,1225,740
