,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
ydfB,2,6,0,1,8,4,1,2,5,0,9,13,13,33,18
ydfC,8,6,4,11,2,10,20,13,18,7,33,52,38,114,55
ydfD,5,1,0,1,5,1,0,0,3,1,2,5,12,2,7
ydfG,1496,1503,867,2576,1211,385,96,215,328,160,852,788,840,924,494
ydfI,37,27,21,45,30,41,4,13,18,6,380,376,337,214,221
ydfK,533,667,405,228,541,35,3,17,21,9,182,206,250,349,154
ydfO,0,1,0,0,0,0,0,0,0,0,1,6,0,1,0
ydfR,12,2,1,11,5,3,0,2,1,0,12,17,19,16,13
ydfT,35,34,24,41,20,11,0,16,2,3,69,50,52,59,36
ydfU,16,25,22,9,23,4,0,4,1,0,131,105,116,35,33
ydfV,7,1,3,7,4,3,2,1,2,2,4,2,9,10,4
ydfW,8,4,6,7,5,15,4,7,6,3,42,25,43,96,58
ydfZ,21,36,16,4,20,5,3,3,0,1,16,10,14,17,4
ydgA,2930,3229,1564,8731,2417,2724,749,1708,2351,1149,5035,5034,5432,9117,5906
ydgC,194,245,128,143,133,18,8,16,30,9,63,51,71,78,63
ydgD,455,448,238,1146,296,1011,279,524,876,338,2214,2083,2434,5056,3119
ydgH,1376,1347,660,1265,1121,92,24,48,76,29,202,262,226,221,141
ydgI,456,615,257,240,466,178,39,92,129,33,433,402,462,502,396
ydgJ,1297,1636,816,1922,1272,1042,313,629,898,419,223,199,227,308,175
ydgK,279,318,202,175,240,34,17,27,23,12,305,290,298,375,276
ydgT,82,85,34,30,54,3,0,7,5,4,42,102,67,81,39
ydgU,2,8,4,9,2,0,0,0,0,0,0,0,2,7,0
ydhF,618,715,317,1202,514,677,156,401,531,242,536,508,533,934,637
ydhI,61,58,19,28,40,13,3,12,13,7,71,73,75,48,20
ydhJ,191,195,94,154,155,46,10,24,26,5,140,160,175,67,73
ydhK,279,340,173,219,231,50,14,36,36,12,142,119,160,91,95
ydhL,29,25,24,99,28,69,28,44,67,28,114,112,118,285,127
ydhP,259,293,144,223,289,105,41,52,67,18,282,298,306,274,238
ydhQ,1052,1104,600,2586,678,970,280,496,450,258,1888,2007,2093,3699,2230
ydhR,330,251,154,342,164,86,28,74,116,46,183,218,265,311,148
ydhS,255,306,174,1206,180,392,133,242,350,156,415,444,448,793,379
ydhT,40,60,23,84,26,3,3,3,5,4,41,64,65,22,37
ydhU,27,53,22,54,39,14,1,8,16,0,60,51,63,27,24
ydhV,56,45,40,68,31,22,8,8,6,2,60,93,79,56,56
ydhW,42,23,15,50,28,16,2,8,12,0,48,40,60,45,48
ydhX,19,25,17,35,18,5,0,9,2,0,49,62,63,36,37
ydhY,8,10,6,16,6,2,0,0,0,0,58,44,62,31,42
ydiB,40,27,7,21,19,5,1,1,0,2,61,62,82,40,49
ydiF,17,17,11,28,10,7,4,11,3,0,50,44,58,18,22
ydiH,163,199,84,139,112,78,17,37,58,31,48,45,67,66,44
ydiJ,4637,6168,3084,5109,4969,150,37,69,84,26,125,171,176,144,134
ydiK,698,838,390,1283,571,739,217,494,543,226,1037,1034,1155,1467,1028
ydiL,5,3,6,9,4,6,0,2,4,2,3,10,4,6,4
ydiM,10,8,17,9,16,3,0,5,7,0,22,18,12,16,3
ydiN,13,8,7,12,16,6,2,7,10,3,77,62,95,88,64
ydiO,20,18,18,30,26,11,3,6,6,4,70,52,57,22,32
ydiP,38,33,15,45,21,26,9,19,28,10,23,17,24,39,20
ydiQ,9,5,11,15,8,10,3,2,12,1,25,34,21,10,24
ydiR,18,34,31,59,19,22,4,21,17,14,74,64,70,78,76
ydiS,48,36,19,50,21,13,3,7,4,8,38,36,33,18,22
ydiT,4,4,0,0,3,4,0,0,2,1,6,4,6,3,0
ydiV,231,208,115,292,145,63,13,33,55,24,165,179,209,249,173
ydiY,697,575,275,217,362,11,1,8,6,6,49,43,53,48,33
ydjA,850,1006,505,1069,753,197,67,134,130,56,280,215,280,298,213
ydjE,69,76,38,44,72,30,8,10,35,4,162,149,168,117,119
ydjF,100,83,37,75,88,25,12,21,35,19,130,129,129,123,65
ydjG,96,91,57,90,50,30,10,14,37,13,152,104,136,75,51
ydjH,50,36,42,48,46,9,0,3,14,2,59,67,82,22,40
ydjI,36,79,48,71,61,21,4,6,25,2,77,64,82,57,49
ydjJ,72,66,23,78,42,19,1,8,6,4,47,33,43,21,13
ydjK,41,54,44,23,54,5,2,3,3,9,16,13,32,19,13
ydjL,72,86,36,82,92,6,5,2,8,2,24,17,30,30,31
ydjM,150,160,72,124,109,101,24,65,87,37,331,402,380,848,500
ydjO,4,3,0,0,1,0,0,2,0,0,18,17,18,12,6
ydjX,15,15,9,14,17,1,0,0,3,2,10,15,13,9,6
ydjY,7,11,16,22,12,11,2,4,6,4,23,28,35,29,26
ydjZ,44,40,13,65,30,31,12,24,19,21,48,59,57,150,67
yeaC,997,1071,478,942,727,145,46,117,115,86,139,116,137,225,148
yeaD,628,759,381,1261,559,51,9,22,25,20,320,302,299,494,369
yeaE,414,447,224,447,328,79,41,57,114,33,132,107,131,141,95
yeaG,3468,4444,2251,21538,2631,24222,7018,15248,16379,7223,5458,5414,5929,13459,6574
yeaH,1091,1107,642,6403,735,4895,1315,2936,3329,1348,510,554,499,1456,650
yeaK,189,211,89,137,121,34,3,22,11,12,110,106,98,68,58
yeaL,51,93,43,66,60,5,1,3,3,1,68,58,65,33,35
yeaO,52,66,26,148,45,49,14,17,39,29,116,123,123,156,77
yeaQ,92,118,42,341,37,234,49,119,180,75,362,427,475,1584,757
yeaR,18,12,3,3,6,3,1,0,15,2,46,53,48,35,25
yeaW,53,72,17,21,48,5,1,0,3,5,19,39,23,26,22
yeaX,59,53,23,20,39,20,5,3,25,1,39,50,46,36,25
yeaY,839,923,396,392,537,1133,351,642,1083,439,707,737,764,407,236
yebB,13,15,3,4,7,5,3,1,2,1,21,31,15,15,21
yebC,1737,1979,920,1356,1596,213,69,114,133,77,411,427,422,471,371
yebE,176,224,105,235,122,210,64,124,156,99,1091,1092,1205,894,657
yebF,2305,2168,1155,3359,1457,417,140,342,376,186,4185,3957,4485,7754,5457
yebG,686,903,473,528,593,433,128,226,384,137,1689,1690,1956,4752,3010
yebO,1823,1715,1045,2403,1410,148,46,65,160,62,258,285,300,575,285
yebQ,106,193,79,73,108,24,12,13,17,8,70,46,49,32,25
yebS,347,360,207,499,268,233,62,80,180,61,277,336,303,498,312
yebT,1409,1552,766,2182,1051,305,82,189,189,99,526,459,531,333,343
yebV,800,627,368,1152,407,1404,337,627,967,364,580,588,633,1671,696
yebW,84,110,40,167,77,181,79,124,236,91,175,170,197,385,212
yebY,195,160,131,154,139,53,13,31,55,29,274,299,326,233,226
yecA,1140,1040,551,1469,864,382,123,231,302,179,362,311,380,387,277
yecC,842,1177,574,1638,956,856,218,561,707,305,974,935,995,879,878
yecD,285,241,92,436,178,37,21,23,27,11,113,143,151,101,80
yecE,263,301,140,400,183,28,7,20,15,5,48,43,38,32,29
yecF,35,35,24,15,40,4,0,5,2,0,48,21,25,49,19
yecH,0,12,0,8,2,254,69,109,189,82,68,78,106,413,109
yecJ,190,176,121,103,154,16,3,9,9,0,111,93,119,77,54
yecM,148,254,100,199,164,114,39,74,89,40,169,136,180,103,116
yecN,267,281,115,341,176,38,28,46,53,23,321,334,373,631,311
yecR,1316,1248,652,981,981,0,0,4,1,0,44,31,33,17,14
yecT,23,38,9,2,35,3,1,1,2,1,3,12,12,5,0
yecU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
yecV,17,24,13,13,16,3,2,2,3,0,23,26,19,6,4
yedA,167,154,101,161,146,11,4,12,14,2,62,54,51,82,45
yedD,421,364,173,493,233,133,38,77,76,40,228,258,311,427,218
yedE,237,271,137,71,185,41,11,35,42,20,188,137,205,56,51
yedF,41,29,20,13,26,9,4,7,6,7,27,21,32,11,21
yedI,480,403,201,771,304,1359,448,776,934,367,740,639,734,1481,1126
yedJ,250,226,95,228,144,167,69,106,179,74,1772,1722,1760,2103,1835
yedK,23,34,21,85,16,66,10,21,58,17,155,157,153,265,150
yedL,29,23,12,42,15,20,9,31,24,7,48,61,61,86,80
yedP,169,177,97,647,133,1485,357,935,1267,512,1011,982,1031,2669,1686
yeeA,531,744,374,963,514,496,98,231,337,145,885,862,1075,1561,1233
yeeJ,391,390,186,580,291,158,40,114,121,43,395,305,337,331,258
yeeN,519,542,281,431,350,31,11,8,22,19,66,95,69,115,75
yeeO,207,267,126,309,158,840,299,544,517,239,716,690,777,767,519
yeeR,48,39,41,38,39,23,5,10,6,4,34,46,50,28,28
yeeS,1,5,3,9,6,3,1,0,0,0,13,14,15,9,5
yeeT,0,0,0,0,0,0,0,0,0,0,5,1,3,2,6
yeeW,22,5,2,2,2,0,0,0,12,0,1,9,4,8,10
yeeY,223,252,121,346,163,2007,597,1155,1424,658,552,587,603,1221,843
yeeZ,1018,1034,574,1289,807,1594,468,994,1218,480,1980,1828,2009,3770,2645
yefM,105,127,46,93,81,175,45,97,103,31,275,307,263,466,285
yegD,157,179,112,94,190,13,2,11,2,4,183,188,228,90,100
yegH,329,380,206,666,251,804,273,573,607,216,578,558,623,827,534
yegI,58,66,33,39,60,33,7,15,16,7,82,93,83,70,99
yegJ,4,9,7,12,3,5,1,3,4,1,16,34,28,44,21
yegL,27,40,11,14,19,9,1,3,2,0,21,30,46,27,18
yegP,293,184,114,642,116,605,234,356,677,291,1034,1136,1243,2700,1213
yegQ,833,871,457,471,873,423,107,234,282,134,1847,1755,1847,2598,2266
yegR,5,11,5,23,5,5,6,5,7,5,12,28,35,28,18
yegS,292,293,159,978,165,543,163,280,312,132,911,969,964,3121,1585
yegT,126,142,75,93,101,51,14,23,37,10,33,39,34,38,13
yegU,160,159,116,145,163,25,11,14,23,7,41,36,32,25,16
yegV,175,233,89,134,159,28,13,10,35,5,46,43,37,23,26
yegW,135,204,120,187,164,35,10,17,15,17,110,134,140,157,106
yegX,45,38,28,38,25,25,3,25,18,7,19,35,44,19,10
yehA,5,1,4,5,0,17,3,18,23,12,29,27,24,22,12
yehB,15,20,8,31,8,21,5,10,11,5,50,53,49,50,30
yehC,1,2,0,0,2,0,0,0,0,0,4,1,5,0,0
yehD,0,1,0,0,0,2,0,0,0,0,1,1,4,3,0
yehE,99,78,72,273,53,123,34,44,83,34,122,146,175,346,141
yehI,82,84,44,91,62,9,4,18,12,4,62,38,50,30,26
yehK,5,1,0,7,4,0,0,0,0,0,7,4,4,4,5
yehL,9,7,1,6,11,0,0,0,1,2,14,12,14,10,11
yehM,37,53,20,42,35,15,2,8,7,9,71,51,63,57,37
yehP,15,10,8,12,22,10,1,6,5,0,7,12,30,22,19
yehR,10,7,1,22,13,22,3,28,24,8,26,14,16,30,18
yehS,686,670,335,354,490,163,45,104,174,74,207,240,250,308,251
yehW,233,305,153,615,161,55,14,40,75,17,247,178,221,172,177
yehX,233,286,147,587,151,76,16,27,47,28,209,263,223,260,272
yehY,395,518,267,1444,320,171,39,80,103,31,784,600,685,774,880
yeiB,764,806,431,964,660,26,2,16,33,18,96,82,95,47,38
yeiG,649,647,363,1117,571,104,21,63,79,27,135,100,160,193,179
yeiH,199,176,88,156,172,143,65,105,91,55,120,128,145,187,123
yeiI,325,386,141,530,281,31,7,9,16,4,118,135,167,131,104
yeiL,7,13,14,29,7,6,2,5,2,0,9,13,21,13,14
yeiP,743,696,360,316,572,23,7,15,20,4,120,141,154,110,76
yeiQ,657,704,370,531,565,139,44,85,101,35,220,247,269,299,221
yeiR,306,411,182,499,240,14,11,16,25,4,267,202,309,162,154
yeiS,15,41,9,9,5,8,1,2,5,0,6,5,5,11,3
yeiW,132,90,47,32,73,2,0,6,0,0,10,26,19,23,13
yejA,475,500,240,587,369,80,26,57,94,38,221,219,252,338,239
yejB,236,201,154,252,164,20,0,15,13,3,28,33,27,15,20
yejE,161,231,157,255,148,12,4,11,23,2,23,44,41,28,15
yejF,462,564,361,759,469,52,10,32,20,3,32,40,35,31,20
yejG,954,1055,535,1483,669,1639,452,901,1497,582,1633,1644,1721,5500,2554
yejK,884,998,504,556,867,108,24,85,92,27,304,292,330,279,258
yejL,311,355,125,210,216,55,24,41,50,22,119,151,123,249,86
yejM,2407,2699,1326,1380,1882,437,123,279,330,150,397,383,440,739,476
yfaA,73,111,54,62,69,12,4,20,19,2,76,62,74,29,28
yfaE,154,201,89,357,152,17,4,6,16,3,44,38,60,47,31
yfaL,388,402,247,433,313,124,36,58,85,46,518,457,457,269,279
yfaP,40,27,7,30,11,36,20,16,33,20,58,48,48,38,24
yfaQ,54,75,32,58,47,20,1,8,20,7,153,129,126,27,45
yfaT,5,8,5,10,3,1,0,1,1,0,17,20,5,9,5
yfaU,71,57,31,77,47,21,7,8,10,1,26,29,33,19,25
yfaV,46,84,58,89,64,18,7,15,24,17,55,44,61,25,44
yfaX,12,6,4,22,18,33,4,17,20,18,7,3,15,6,2
yfaY,471,527,297,871,378,277,88,170,194,94,621,624,673,835,608
yfaZ,92,100,62,139,89,28,3,9,23,10,54,39,66,43,44
yfbK,7,18,5,20,21,10,7,1,25,7,54,37,36,41,26
yfbL,10,5,1,13,7,0,4,3,1,0,18,13,15,10,26
yfbM,8,7,7,8,6,1,3,4,1,3,14,11,9,14,7
yfbN,7,0,6,3,5,0,0,2,1,0,26,21,20,32,15
yfbO,8,6,2,12,8,7,0,0,0,0,6,15,12,22,4
yfbP,30,46,23,38,33,20,5,14,30,14,54,50,94,55,44
yfbR,241,222,107,258,137,18,16,13,26,27,76,68,57,69,37
yfbS,429,536,239,500,365,130,44,88,76,37,385,316,395,236,172
yfbU,409,552,279,720,398,315,106,249,313,175,529,497,474,514,421
yfbV,411,409,213,388,267,2231,654,1248,2027,749,816,811,844,1754,997
yfcA,576,796,390,434,555,13,5,13,19,8,81,87,92,64,67
yfcC,22,36,19,22,41,7,0,5,2,2,95,119,124,50,63
yfcD,724,698,340,1330,599,119,53,70,104,32,312,338,311,371,317
yfcE,589,584,325,1252,487,152,41,93,112,79,378,371,379,402,304
yfcF,379,496,198,1368,276,171,45,110,133,54,419,416,427,536,420
yfcG,90,119,63,476,61,401,131,232,298,137,398,467,434,893,462
yfcH,1160,1260,606,1814,879,1367,403,839,986,468,1718,1548,1885,2209,1633
yfcJ,147,159,108,76,138,11,1,2,5,1,186,188,177,57,95
yfcL,300,395,179,197,286,7,4,1,4,6,61,48,39,43,29
yfcO,358,361,180,378,256,533,136,322,394,152,364,301,394,496,295
yfcP,24,19,6,20,9,8,5,3,2,0,28,21,11,6,13
yfcQ,1,8,6,5,3,2,0,1,4,0,9,11,19,4,8
yfcR,4,13,2,6,2,0,1,0,0,0,18,10,17,10,7
yfcS,3,21,0,9,4,2,1,1,2,0,29,24,34,15,7
yfcV,4,2,6,2,0,3,0,3,1,7,36,43,44,30,12
yfcZ,252,155,90,206,121,575,175,339,623,242,197,203,222,393,137
yfdC,89,81,56,519,79,265,90,164,217,87,257,258,262,334,213
yfdE,24,25,7,42,24,170,42,91,187,51,183,170,240,436,224
yfdF,15,15,15,28,12,4,2,3,0,1,8,5,9,18,6
yfdG,419,437,239,268,344,2,1,1,1,0,52,47,40,51,36
yfdH,989,946,525,614,721,15,3,8,2,3,92,84,93,74,60
yfdI,747,786,401,495,543,3,0,0,6,0,2,1,5,1,3
yfdK,11,17,6,3,2,4,2,9,9,0,27,19,35,25,17
yfdN,3,0,1,4,3,0,0,0,2,0,22,9,8,0,2
yfdP,6,1,2,6,7,3,2,1,1,1,2,2,0,2,4
yfdQ,34,23,21,40,17,1,0,10,9,2,14,23,10,3,14
yfdR,0,0,5,0,0,0,0,0,0,0,7,5,7,2,0
yfdS,1,0,0,4,1,1,0,0,0,0,1,10,6,3,0
yfdT,0,0,1,0,4,0,0,0,0,0,3,2,0,3,2
yfdV,20,28,9,16,15,35,15,19,24,5,143,135,144,126,113
yfdX,6,19,7,5,6,6,5,17,2,3,92,90,114,159,117
yfdY,42,51,22,97,30,206,70,93,134,55,271,304,333,1296,461
yfeC,179,215,113,158,162,78,19,55,71,21,16,13,23,26,18
yfeD,308,336,132,234,209,114,60,87,116,58,23,28,34,40,27
yfeH,302,292,144,265,226,317,100,170,236,83,165,128,166,277,188
yfeK,75,75,29,50,29,11,1,2,5,3,44,52,35,32,25
yfeN,24,36,13,14,19,47,9,9,47,8,75,55,57,99,62
yfeO,94,153,81,300,79,154,37,66,96,41,417,429,437,517,414
yfeR,46,72,18,70,56,34,22,28,33,15,230,179,231,171,107
yfeS,218,171,92,89,73,11,8,11,15,8,142,122,156,57,34
yfeX,808,977,473,744,654,170,67,100,179,83,942,869,981,660,650
yfeY,621,677,376,394,374,52,8,32,52,25,1024,901,1134,892,698
yfeZ,251,252,139,280,187,66,20,46,51,15,560,518,635,614,593
yffB,60,101,27,192,68,10,6,12,10,12,65,76,75,68,52
yffL,49,27,9,18,19,16,12,18,17,8,8,8,10,30,11
yffM,11,6,4,7,7,9,0,4,5,1,8,9,9,17,7
yffN,1,0,8,18,5,2,1,4,5,1,7,18,10,4,7
yffO,8,7,6,32,2,13,2,7,9,0,13,39,24,27,13
yffP,29,13,17,43,19,55,5,15,19,11,68,69,70,59,52
