GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0071951,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0034213,quinolinate catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0072714,response to selenite ion,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0046181,ketogluconate catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:1903805,L-valine import across plasma membrane,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:2001061,D-glycero-D-manno-heptose 7-phosphate biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0046084,adenine biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006739,NADP metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006596,polyamine biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0045337,farnesyl diphosphate biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0032238,adenosine transport,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006562,proline catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0042846,glycol catabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0006560,proline metabolic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
GO:0046167,glycerol-3-phosphate biosynthetic process,BP,0.13900472616068946,0.8758422066256297,e,"(1, 500)","(1, 3597)"
